"index","seqName","clade","major_lineage","genotype","otherName","seqLength","X.cds","Year","geo_location","country","strain","date"
4,"MW946764.1|2010","3II_B","3II_B","3II","MW946764",10173,100,2010,"Thailand","Thailand","MW946764",2010
4,"GU131849.1|2006","3III_C.2.2","3III_C","3III","GU131849",10525,103.4601396,2006,"Brazil: Sao Paulo","Brazil","GU131849",2006
7,"MW946767.1|2006","3III_B.1","3III_B","3III","MW946767",10173,100,2006,"Thailand","Thailand","MW946767",2006
7,"GU131852.1|2006","3III_C.2.2","3III_C","3III","GU131852",10525,103.4601396,2006,"Brazil: Sao Paulo","Brazil","GU131852",2006
9,"MW946769.1|2005","3II_A","3II_A","3II","MW946769",10173,100,2005,"Thailand","Thailand","MW946769",2005
10,"MW946770.1|1996","3II_A","3II_A","3II","MW946770",10173,100,1996,"Thailand","Thailand","MW946770",1996
11,"MW946771.1|1998","3II_B","3II_B","3II","MW946771",10173,100,1998,"Thailand","Thailand","MW946771",1998
14,"GU131859.1|2006","3III_C.2.2","3III_C","3III","GU131859",10525,103.4601396,2006,"Brazil: Sao Paulo","Brazil","GU131859",2006
15,"MW946775.1|2014","3III_B.1","3III_B","3III","MW946775",10173,100,2014,"Thailand","Thailand","MW946775",2014
16,"GU131861.1|2007","3III_C.2.2","3III_C","3III","GU131861",10526,103.4699695,2007,"Brazil: Sao Paulo","Brazil","GU131861",2007
17,"MW946777.1|1995","3II_A","3II_A","3II","MW946777",10173,100,1995,"Thailand","Thailand","MW946777",1995
19,"MW946779.1|2013","3II_B","3II_B","3II","MW946779",10173,100,2013,"Thailand","Thailand","MW946779",2013
23,"MW946783.1|2012","3III_B.1","3III_B","3III","MW946783",10173,100,2012,"Thailand","Thailand","MW946783",2012
25,"MW946785.1|2013","3II_A.5","3II_A","3II","MW946785",10173,100,2013,"Thailand","Thailand","MW946785",2013
25,"PP563771.1|2023-06-24","3III_B.3.2","3III_B","3III","PP563771",10707,105.249189,2023,"Angola","Angola","PP563771",2023
26,"PP563871.1|2023-07-04","3III_B.1","3III_B","3III","PP563871",10505,103.2635407,2023,"Thailand","Thailand","PP563871",2023
29,"MW946789.1|2010","3II_B","3II_B","3II","MW946789",10173,100,2010,"Thailand","Thailand","MW946789",2010
