"index","seqName","clade","major_lineage","genotype","otherName","seqLength","X.cds","Year","geo_location","country","strain","date"
112,"NC_001474.2|1964","2V","2V","2V","NC_001474",10723,105.3753931,1964,"Thailand","Thailand","NC_001474",1964
115,"PP320854.1|2013-07-03","2III_C.1","2III_C","2III","PP320854",10668,104.8349057,2013,"France","France","PP320854",2013
116,"PP320855.1|2014-01-14","2III_C.1","2III_C","2III","PP320855",10591,104.0782233,2014,"France","France","PP320855",2014
119,"PP510619.1|2023-08-27","2II_F.1.1.5","2II_F","2II","PP510619",10688,105.0314465,2023,"French Guiana: Sinnamary","French Guiana","PP510619",2023
120,"PP510620.1|2023-07-14","2II_F.1.1.5","2II_F","2II","PP510620",10677,104.9233491,2023,"French Guiana: Saint-Laurent-du-Maroni","French Guiana","PP510620",2023
121,"PP510621.1|2023-09-21","2II_F.1.1.5","2II_F","2II","PP510621",10688,105.0314465,2023,"French Guiana: imported from Guadeloupe","French Guiana","PP510621",2023
122,"PP510622.1|2023-07-24","2II_F.1.1.5","2II_F","2II","PP510622",10279,101.0121855,2023,"Martinique","Martinique","PP510622",2023
123,"PP510623.1|2023-07-21","2II_F.1.1.5","2II_F","2II","PP510623",10676,104.913522,2023,"Martinique","Martinique","PP510623",2023
125,"PP510625.1|2023-07-24","2II_F.1.1.5","2II_F","2II","PP510625",10686,105.0117925,2023,"Martinique","Martinique","PP510625",2023
126,"PP563772.1|2023-08-03","2II_F.1.1","2II_F","2II","PP563772",10700,105.1493711,2023,"Thailand","Thailand","PP563772",2023
223,"PP564602.1|2023-10-07","2V_A.2","2V_A","2V","PP564602",10712,105.2672956,2023,"China: Guangzhou","China","PP564602",2023
271,"PP564650.1|2023-10-12","2II_F.1.1.3","2II_F","2II","PP564650",10602,104.1863208,2023,"China: Guangzhou","China","PP564650",2023
272,"PP564651.1|2023-10-08","2II_F.1.1.3","2II_F","2II","PP564651",10645,104.6088836,2023,"China: Guangzhou","China","PP564651",2023
280,"PP564659.1|2023-10-25","2II_A.2.2","2II_A","2II","PP564659",10643,104.5892296,2023,"China: Guangzhou","China","PP564659",2023
296,"PP564675.1|2023-10-29","2II_A.2.2","2II_A","2II","PP564675",10658,104.7366352,2023,"China: Guangzhou","China","PP564675",2023
305,"PP564684.1|2023-11-13","2II_F.1.1.3","2II_F","2II","PP564684",10689,105.0412736,2023,"China: Guangzhou","China","PP564684",2023
327,"PP564706.1|2023-11-14","2II_A.2.2","2II_A","2II","PP564706",10639,104.5499214,2023,"China: Guangzhou","China","PP564706",2023
337,"OR616462.1|2023-08-10","2III_C.1.2","2III_C","2III","OR616462",10271,100.9335692,2023,"Dominican Republic","Dominican Republic","OR616462",2023
349,"OR616474.1|2023-01-05","2III_C.1.2","2III_C","2III","OR616474",10312,101.336478,2023,"Dominican Republic","Dominican Republic","OR616474",2023
351,"OR616476.1|2023-01-17","2III_C.1.2","2III_C","2III","OR616476",10272,100.9433962,2023,"Dominican Republic","Dominican Republic","OR616476",2023
396,"OR235796.1|2016-11","2II_A.1.1.2","2II_A","2II","OR235796",9934,97.62185535,2016,"Reunion","Reunion","OR235796",2016
398,"OR235798.1|2016-03","2II_A.1.1.2","2II_A","2II","OR235798",10506,103.2429245,2016,"Reunion","Reunion","OR235798",2016
411,"OR235811.1|2017-07","2II_A.1.1.1","2II_A","2II","OR235811",10506,103.2429245,2017,"Reunion","Reunion","OR235811",2017
421,"OR235821.1|2020-01","2II_A.1.1.1","2II_A","2II","OR235821",10506,103.2429245,2020,"Reunion","Reunion","OR235821",2020
426,"OR235826.1|2020-05","2II_C.1","2II_C","2II","OR235826",10506,103.2429245,2020,"Reunion","Reunion","OR235826",2020
431,"OR235831.1|2020-01","2II_A.1.1.1","2II_A","2II","OR235831",10506,103.2429245,2020,"Reunion","Reunion","OR235831",2020
432,"OR235832.1|2020-01","2II_C.1","2II_C","2II","OR235832",10507,103.2527516,2020,"Reunion","Reunion","OR235832",2020
434,"OR235834.1|2019-01","2II_A.1.1.1","2II_A","2II","OR235834",10506,103.2429245,2019,"Reunion","Reunion","OR235834",2019
467,"OR235867.1|2018-11","2II_A.1.1.1","2II_A","2II","OR235867",10506,103.2429245,2018,"Reunion","Reunion","OR235867",2018
487,"OR235887.1|2019-02","2II_A.1.1.1","2II_A","2II","OR235887",10506,103.2429245,2019,"Reunion","Reunion","OR235887",2019
499,"OR235899.1|2019-05","2II_A.1.1.1","2II_A","2II","OR235899",10506,103.2429245,2019,"Reunion","Reunion","OR235899",2019
575,"OR235975.1|2018-02","2II_A.1.1.1","2II_A","2II","OR235975",9934,97.62185535,2018,"Reunion","Reunion","OR235975",2018
608,"OR236008.1|2020-09","2II_A.1.1.1","2II_A","2II","OR236008",10506,103.2429245,2020,"Reunion","Reunion","OR236008",2020
