index,seqName,clade,major_lineage,genotype,otherName,seqLength,%cds,year,geo_location,country,strain,date
112,NC_001474.2|1964,2V,2V,2V,NC_001474,10723,105.3753931,1964,Thailand,Thailand,NC_001474,1964
113,PP320851.1|2023-12-31,2II_F.1.1.5,2II_F,2II,PP320851,10663,104.7857704,2023,France,France,PP320851,2023
114,PP320853.1|2023-10-05,2II_F.1.1.5,2II_F,2II,PP320853,9298,91.37185535,2023,France,France,PP320853,2023
115,PP320854.1|2013-07-03,2III_C.1,2III_C,2III,PP320854,10668,104.8349057,2013,France,France,PP320854,2013
116,PP320855.1|2014-01-14,2III_C.1,2III_C,2III,PP320855,10591,104.0782233,2014,France,France,PP320855,2014
117,PP510617.1|2023-10-02,2II_F.1.1.5,2II_F,2II,PP510617,10690,105.0511006,2023,French Guiana: Remire-Montjoly,French Guiana,PP510617,2023
118,PP510618.1|2023-07-26,2II_F.1.1.5,2II_F,2II,PP510618,10690,105.0511006,2023,Martinique,Martinique,PP510618,2023
119,PP510619.1|2023-08-27,2II_F.1.1.5,2II_F,2II,PP510619,10688,105.0314465,2023,French Guiana: Sinnamary,French Guiana,PP510619,2023
120,PP510620.1|2023-07-14,2II_F.1.1.5,2II_F,2II,PP510620,10677,104.9233491,2023,French Guiana: Saint-Laurent-du-Maroni,French Guiana,PP510620,2023
121,PP510621.1|2023-09-21,2II_F.1.1.5,2II_F,2II,PP510621,10688,105.0314465,2023,French Guiana: imported from Guadeloupe,French Guiana,PP510621,2023
122,PP510622.1|2023-07-24,2II_F.1.1.5,2II_F,2II,PP510622,10279,101.0121855,2023,Martinique,Martinique,PP510622,2023
123,PP510623.1|2023-07-21,2II_F.1.1.5,2II_F,2II,PP510623,10676,104.913522,2023,Martinique,Martinique,PP510623,2023
124,PP510624.1|2023-09-07,2II_F.1.1.5,2II_F,2II,PP510624,10688,105.0314465,2023,French Guiana: Cayenne,French Guiana,PP510624,2023
125,PP510625.1|2023-07-24,2II_F.1.1.5,2II_F,2II,PP510625,10686,105.0117925,2023,Martinique,Martinique,PP510625,2023
126,PP563772.1|2023-08-03,2II_F.1.1,2II_F,2II,PP563772,10700,105.1493711,2023,Thailand,Thailand,PP563772,2023
127,PP564506.1|2023-07-26,2II_A.2.2,2II_A,2II,PP564506,10687,105.0216195,2023,China: Guangzhou,China,PP564506,2023
128,PP564507.1|2023-07-27,2II_A.2.2,2II_A,2II,PP564507,10687,105.0216195,2023,China: Guangzhou,China,PP564507,2023
129,PP564508.1|2023-08-05,2II_A.2.2,2II_A,2II,PP564508,10686,105.0117925,2023,China: Guangzhou,China,PP564508,2023
130,PP564509.1|2023-08-12,2II_A.2.2,2II_A,2II,PP564509,10641,104.5695755,2023,China: Guangzhou,China,PP564509,2023
131,PP564510.1|2023-08-12,2II_A.2.2,2II_A,2II,PP564510,10640,104.5597484,2023,China: Guangzhou,China,PP564510,2023
132,PP564511.1|2023-08-13,2II_A.2.2,2II_A,2II,PP564511,10640,104.5597484,2023,China: Guangzhou,China,PP564511,2023
133,PP564512.1|2023-08-11,2II_A.2.2,2II_A,2II,PP564512,10640,104.5597484,2023,China: Guangzhou,China,PP564512,2023
134,PP564513.1|2023-08-06,2II_A.2.2,2II_A,2II,PP564513,10706,105.2083333,2023,China: Guangzhou,China,PP564513,2023
135,PP564514.1|2023-08-05,2II_A.2.2,2II_A,2II,PP564514,10640,104.5597484,2023,China: Guangzhou,China,PP564514,2023
136,PP564515.1|2023-08-05,2II_A.2.2,2II_A,2II,PP564515,10639,104.5499214,2023,China: Guangzhou,China,PP564515,2023
137,PP564516.1|2023-08-09,2II_A.2.2,2II_A,2II,PP564516,10639,104.5499214,2023,China: Guangzhou,China,PP564516,2023
138,PP564517.1|2023-08-10,2II_A.2.2,2II_A,2II,PP564517,10640,104.5597484,2023,China: Guangzhou,China,PP564517,2023
139,PP564518.1|2023-08-16,2II_A.2.2,2II_A,2II,PP564518,10654,104.697327,2023,China: Guangzhou,China,PP564518,2023
