index,seqName,clade,major_lineage,genotype,otherName,seqLength,%cds,year,geo_location,country,strain,date
1385,PP530039.1|2014-06-26,4II_B.1.1,4II_B,4II,PP530039,10164,100,2014,Brazil,Brazil,PP530039,2014
1386,PP530040.1|2014-03-26,4II_B.1.1,4II_B,4II,PP530040,10164,100,2014,Brazil,Brazil,PP530040,2014
1387,PP530041.1|2014-04-28,4II_B.1.1,4II_B,4II,PP530041,10164,100,2014,Brazil,Brazil,PP530041,2014
1388,PP530042.1|2014-05-05,4II_B.1.1,4II_B,4II,PP530042,10164,100,2014,Brazil,Brazil,PP530042,2014
1389,PP530043.1|2014-05-14,4II_B.1.1,4II_B,4II,PP530043,10164,100,2014,Brazil,Brazil,PP530043,2014
1390,PP530044.1|2014-05-14,4II_B.1.1,4II_B,4II,PP530044,10164,100,2014,Brazil,Brazil,PP530044,2014
1391,PP530045.1|2014-08,4II_B.1.1,4II_B,4II,PP530045,10164,100,2014,Brazil,Brazil,PP530045,2014
1392,PP530046.1|2014-05,4II_B.1.1,4II_B,4II,PP530046,10164,100,2014,Brazil,Brazil,PP530046,2014
1393,PP530047.1|2014-07,4II_B.1.1,4II_B,4II,PP530047,10164,100,2014,Brazil,Brazil,PP530047,2014
1394,PP530048.1|2015-05-27,4II_B.1.1,4II_B,4II,PP530048,10164,100,2015,Brazil,Brazil,PP530048,2015
1395,PP530049.1|2015-05-09,4II_B.1.1,4II_B,4II,PP530049,10164,100,2015,Brazil,Brazil,PP530049,2015
1396,PP530050.1|2015-11-15,4II_B.1.1,4II_B,4II,PP530050,10164,100,2015,Brazil,Brazil,PP530050,2015
1397,PP530051.1|2015-01-26,4II_B.1.1,4II_B,4II,PP530051,10164,100,2015,Brazil,Brazil,PP530051,2015
1398,PP530052.1|2015-05-07,4II_B.1.1,4II_B,4II,PP530052,10164,100,2015,Brazil,Brazil,PP530052,2015
1399,PP530053.1|2015-07-13,4II_B.1.1,4II_B,4II,PP530053,10164,100,2015,Brazil,Brazil,PP530053,2015
1400,PP530054.1|2015-03-02,4II_B.1.1,4II_B,4II,PP530054,10164,100,2015,Brazil,Brazil,PP530054,2015
1401,PP530055.1|2016-04-17,4II_B.1.1,4II_B,4II,PP530055,10164,100,2016,Brazil,Brazil,PP530055,2016
1402,PP530056.1|2016-01-14,4II_B.1.1,4II_B,4II,PP530056,10164,100,2016,Brazil,Brazil,PP530056,2016
1403,PP530057.1|2017-04-04,4II_B.1.1,4II_B,4II,PP530057,10164,100,2017,Brazil,Brazil,PP530057,2017
1404,PP530058.1|2015-05-12,4II_B.1.1,4II_B,4II,PP530058,10164,100,2015,Brazil,Brazil,PP530058,2015
1405,PP530059.1|2015-08-04,4II_B.1.1,4II_B,4II,PP530059,10164,100,2015,Brazil,Brazil,PP530059,2015
1406,PP530060.1|2015-06-16,4II_B.1.1,4II_B,4II,PP530060,10164,100,2015,Brazil,Brazil,PP530060,2015
1407,PP530061.1|2015-02-10,4II_B.1.1,4II_B,4II,PP530061,10164,100,2015,Brazil,Brazil,PP530061,2015
1408,PP530062.1|2015-07,4II_B.1.1,4II_B,4II,PP530062,10164,100,2015,Brazil,Brazil,PP530062,2015
1409,OP120947.1|2019-07,4I_A.3,4I_A,4I,OP120947,10606,104.3486816,2019,Myanmar,Myanmar,OP120947,2019
1410,OP120948.1|2019-07,4I_A.3,4I_A,4I,OP120948,10606,104.3486816,2019,Myanmar,Myanmar,OP120948,2019
1411,OP120949.1|2019-07,4I_A.3,4I_A,4I,OP120949,10607,104.3585203,2019,Myanmar,Myanmar,OP120949,2019
1412,PP447196.1|2022-02-14,4I_A.1.1,4I_A,4I,PP447196,10604,104.3290043,2022,Cambodia,Cambodia,PP447196,2022
1413,PP447197.1|2022-02-16,4I_A.1.1,4I_A,4I,PP447197,10337,101.7020858,2022,Cambodia,Cambodia,PP447197,2022
1414,PP447198.1|2022-02-22,4I_A.1.1,4I_A,4I,PP447198,10341,101.7414404,2022,Cambodia,Cambodia,PP447198,2022
1415,PP447199.1|2022-02-23,4I_A.1.1,4I_A,4I,PP447199,10338,101.7119244,2022,Cambodia,Cambodia,PP447199,2022
1416,PP447200.1|2022-04-06,4I_A.1.1,4I_A,4I,PP447200,10337,101.7020858,2022,Cambodia,Cambodia,PP447200,2022
1417,PP269978.1|2014-10-29,4I_A.1,4I_A,4I,PP269978,10511,103.4140102,2014,Viet Nam,Viet Nam,PP269978,2014
1418,PP269979.1|2012-11-14,4I_A.1,4I_A,4I,PP269979,10511,103.4140102,2012,Viet Nam,Viet Nam,PP269979,2012
1419,PP269980.1|2012-10-05,4I_A.1,4I_A,4I,PP269980,10513,103.4336875,2012,Viet Nam,Viet Nam,PP269980,2012
1420,PP269981.1|2011-07-05,4I_A.1.1,4I_A,4I,PP269981,10513,103.4336875,2011,Viet Nam,Viet Nam,PP269981,2011
1421,PP269982.1|2011-12-16,4I_A.1,4I_A,4I,PP269982,10511,103.4140102,2011,Viet Nam,Viet Nam,PP269982,2011
1422,PP269983.1|2011-12-29,4I_A.1.1,4I_A,4I,PP269983,10536,103.6599764,2011,Viet Nam,Viet Nam,PP269983,2011
1423,PP269984.1|2012-01-04,4I_A.1,4I_A,4I,PP269984,10511,103.4140102,2012,Viet Nam,Viet Nam,PP269984,2012
1424,PP269985.1|2012-11-05,4I_A.1,4I_A,4I,PP269985,10488,103.1877214,2012,Viet Nam,Viet Nam,PP269985,2012
1425,PP269986.1|2011-12-21,4I_A.1.1,4I_A,4I,PP269986,10513,103.4336875,2011,Viet Nam,Viet Nam,PP269986,2011
1426,PP269987.1|2012-07-23,4I_A.1,4I_A,4I,PP269987,10513,103.4336875,2012,Viet Nam,Viet Nam,PP269987,2012
1427,PP269988.1|2012-09-07,4I_A.1.1,4I_A,4I,PP269988,10536,103.6599764,2012,Viet Nam,Viet Nam,PP269988,2012
1428,PP269989.1|2012-12-10,4I_A.1.2,4I_A,4I,PP269989,10513,103.4336875,2012,Viet Nam,Viet Nam,PP269989,2012
1429,PP269990.1|2012-12-12,4I_A.1.2,4I_A,4I,PP269990,10513,103.4336875,2012,Viet Nam,Viet Nam,PP269990,2012
1430,PP269991.1|2013-06-12,4I_A.1,4I_A,4I,PP269991,10513,103.4336875,2013,Viet Nam,Viet Nam,PP269991,2013
1431,PP269992.1|2014-07-16,4I_A.1,4I_A,4I,PP269992,10095,99.32113341,2014,Viet Nam,Viet Nam,PP269992,2014
1432,PP269993.1|2015-09-01,4I_A.1,4I_A,4I,PP269993,10513,103.4336875,2015,Viet Nam,Viet Nam,PP269993,2015
1433,PP269994.1|2015-09-07,4I_A.1,4I_A,4I,PP269994,10515,103.4533648,2015,Viet Nam,Viet Nam,PP269994,2015
1434,PP269995.1|2012-11-07,4I_A.1,4I_A,4I,PP269995,10513,103.4336875,2012,Viet Nam,Viet Nam,PP269995,2012
1435,PP269996.1|2013-01-02,4I_A.1.2,4I_A,4I,PP269996,10513,103.4336875,2013,Viet Nam,Viet Nam,PP269996,2013
1436,PP269997.1|2013-01-24,4I_A.1,4I_A,4I,PP269997,10513,103.4336875,2013,Viet Nam,Viet Nam,PP269997,2013
